Time,Rep,PopSizeF,PopSizeM,PopSize,Sex,p,chi,tau,t,gamma,surviving_offspring_nr,dead_offspring_nr,Res,NrRejections,NrMatings
500,7,515,485,1000,1,0.321366,10,0.197423,20033,20033,4,2,1.05627,0,6
500,7,515,485,1000,1,0.257277,10,0.204426,20033,20033,4,0,0.67597,0,4
500,7,515,485,1000,1,0.294331,10,0.217913,20033,20033,3,2,1.29209,0,5
500,7,515,485,1000,1,0.24906,10,0.204426,20033,20033,4,1,0.905904,0,5
500,7,515,485,1000,1,0.173231,10,0.23682,20033,20033,1,1,0.744575,0,2
500,7,515,485,1000,1,0.173231,10,0.204426,20033,20033,2,3,1.26256,0,5
500,7,515,485,1000,1,0.233372,10,0.177681,20033,20033,1,2,0.549327,0,3
500,7,515,485,1000,1,0.276114,10,0.204426,20033,20033,2,0,1.20476,0,2
500,7,515,485,1000,1,0.173231,10,0.216501,20033,20033,3,3,0.911453,0,6
500,7,515,485,1000,1,0.233372,10,0.19014,20033,20033,2,0,1.02981,0,2
500,7,515,485,1000,1,0.233372,10,0.222369,20033,20033,1,0,0.660967,0,1
500,7,515,485,1000,1,0.352411,10,0.15945,20033,20033,2,3,1.42413,0,5
500,7,515,485,1000,1,0.352411,10,0.204426,20033,20033,3,1,0.576746,0,4
500,7,515,485,1000,1,0.173231,10,0.204426,20033,20033,2,4,1.07061,0,6
500,7,515,485,1000,1,0.236603,10,0.217913,20033,20033,3,3,0.878361,0,6
500,7,515,485,1000,1,0.242587,10,0.222369,20033,20033,1,4,1.4837,0,5
500,7,515,485,1000,1,0.242416,10,0.204426,20033,20033,3,0,0.694156,0,3
500,7,515,485,1000,1,0.232291,10,0.204111,20033,20033,0,3,1.2218,0,3
500,7,515,485,1000,1,0.347295,10,0.217913,20033,20033,0,1,1.43978,0,1
500,7,515,485,1000,1,0.294331,10,0.204426,20033,20033,2,0,1.07935,0,2
500,7,515,485,1000,1,0.294331,10,0.199388,20033,20033,4,1,0.949536,0,5
500,7,515,485,1000,1,0.244948,10,0.182331,20033,20033,2,2,0.865658,0,4
500,7,515,485,1000,1,0.257277,10,0.19014,20033,20033,5,1,1.4876,0,6
500,7,515,485,1000,1,0.257277,10,0.168184,20033,20033,4,0,1.06805,0,4
