Time,Rep,PopSizeF,PopSizeM,PopSize,Sex,p,chi,tau,t,gamma,surviving_offspring_nr,dead_offspring_nr,Res,NrRejections,NrMatings
10000,7,505,495,1000,1,0.724448,10,0.549452,20033,20033,1,2,1.13095,0,3
10000,7,505,495,1000,1,0.580406,10,0.443845,20033,20033,2,1,1.48373,0,3
10000,7,505,495,1000,1,0.677655,10,0.504001,20033,20033,0,2,1.3259,0,2
10000,7,505,495,1000,1,0.64553,10,0.450626,20033,20033,1,2,0.682927,0,3
10000,7,505,495,1000,1,0.677655,10,0.44722,20033,20033,2,0,1.2146,0,2
10000,7,505,495,1000,1,0.620251,10,0.487633,20033,20033,1,3,1.21411,0,4
10000,7,505,495,1000,1,0.578568,10,0.485833,20033,20033,1,5,1.16354,0,6
10000,7,505,495,1000,1,0.608106,10,0.395327,20033,20033,1,1,0.919633,0,2
10000,7,505,495,1000,1,0.57116,10,0.487633,20033,20033,0,5,1.09992,0,5
10000,7,505,495,1000,1,0.651165,10,0.509869,20033,20033,3,1,0.860143,0,4
10000,7,505,495,1000,1,0.57116,10,0.443845,20033,20033,2,0,0.534861,0,2
10000,7,505,495,1000,1,0.634721,10,0.465839,20033,20033,1,4,0.809134,0,5
10000,7,505,495,1000,1,0.704726,10,0.41458,20033,20033,0,2,0.616197,0,2
10000,7,505,495,1000,1,0.64155,10,0.44722,20033,20033,3,1,1.47446,0,4
10000,7,505,495,1000,1,0.651165,10,0.504037,20033,20033,2,6,1.02408,0,8
10000,7,505,495,1000,1,0.760789,10,0.504037,20033,20033,2,4,0.529402,0,6
10000,7,505,495,1000,1,0.677655,10,0.465839,20033,20033,4,2,0.708904,0,6
10000,7,505,495,1000,1,0.620251,10,0.487633,20033,20033,5,1,1.49224,0,6
10000,7,505,495,1000,1,0.580406,10,0.443845,20033,20033,1,1,1.09667,0,2
10000,7,505,495,1000,1,0.580406,10,0.44722,20033,20033,0,3,0.928352,0,3
10000,7,505,495,1000,1,0.580406,10,0.504001,20033,20033,1,1,1.38279,0,2
10000,7,505,495,1000,1,0.573147,10,0.465839,20033,20033,2,4,0.873787,0,6
10000,7,505,495,1000,1,0.586501,10,0.465839,20033,20033,1,7,0.831193,0,8
10000,7,505,495,1000,1,0.677655,10,0.465839,20033,20033,5,3,1.19364,0,8
10000,7,505,495,1000,1,0.634443,10,0.465839,20033,20033,4,6,1.44239,0,10
10000,7,505,495,1000,1,0.673994,10,0.476185,20033,20033,0,1,1.47185,0,1
10000,7,505,495,1000,1,0.619322,10,0.506812,20033,20033,4,3,0.54443,0,7
10000,7,505,495,1000,1,0.589176,10,0.483291,20033,20033,2,2,0.932279,0,4
10000,7,505,495,1000,1,0.704726,10,0.443845,20033,20033,3,2,1.39854,0,5
10000,7,505,495,1000,1,0.760789,10,0.465839,20033,20033,0,2,0.871382,0,2
10000,7,505,495,1000,1,0.608106,10,0.520275,20033,20033,2,9,1.2906,0,11
10000,7,505,495,1000,1,0.760789,10,0.428042,20033,20033,4,4,1.45579,0,8
10000,7,505,495,1000,1,0.601371,10,0.443845,20033,20033,2,3,1.37113,0,5
10000,7,505,495,1000,1,0.651165,10,0.509869,20033,20033,0,4,0.613714,0,4
10000,7,505,495,1000,1,0.677655,10,0.475544,20033,20033,0,1,0.816739,0,1
10000,7,505,495,1000,1,0.620251,10,0.545997,20033,20033,1,4,0.829276,0,5
10000,7,505,495,1000,1,0.506456,10,0.476185,20033,20033,0,2,1.31986,0,2
10000,7,505,495,1000,1,0.580406,10,0.465839,20033,20033,3,3,0.81768,0,6
10000,7,505,495,1000,1,0.704726,10,0.443845,20033,20033,2,4,0.899785,0,6
10000,7,505,495,1000,1,0.608106,10,0.504037,20033,20033,1,2,0.662829,0,3
10000,7,505,495,1000,1,0.580406,10,0.509869,20033,20033,1,1,0.52843,0,2
10000,7,505,495,1000,1,0.677655,10,0.465839,20033,20033,4,0,0.752072,0,4
10000,7,505,495,1000,1,0.760789,10,0.44722,20033,20033,0,1,0.586106,0,1
10000,7,505,495,1000,1,0.586501,10,0.465839,20033,20033,2,5,1.01861,0,7
10000,7,505,495,1000,1,0.580406,10,0.452334,20033,20033,4,1,1.40255,0,5
10000,7,505,495,1000,1,0.620251,10,0.433958,20033,20033,2,4,0.553682,0,6
10000,7,505,495,1000,1,0.619322,10,0.465839,20033,20033,2,0,0.513132,0,2
10000,7,505,495,1000,1,0.71809,10,0.44722,20033,20033,2,2,1.00778,0,4
10000,7,505,495,1000,1,0.677655,10,0.465839,20033,20033,10,2,1.0305,0,12
10000,7,505,495,1000,1,0.651165,10,0.44722,20033,20033,4,2,0.654425,0,6
10000,7,505,495,1000,1,0.566192,10,0.44722,20033,20033,7,1,1.40742,0,8
10000,7,505,495,1000,1,0.637447,10,0.44722,20033,20033,3,1,1.14647,0,4
10000,7,505,495,1000,1,0.482284,10,0.506812,20033,20033,0,1,0.634284,0,1
10000,7,505,495,1000,1,0.56534,10,0.487633,20033,20033,1,2,0.522803,0,3
10000,7,505,495,1000,1,0.56534,10,0.504037,20033,20033,4,2,1.49874,0,6
10000,7,505,495,1000,1,0.580406,10,0.483291,20033,20033,2,3,0.84126,0,5
10000,7,505,495,1000,1,0.761819,10,0.475492,20033,20033,1,3,0.924426,0,4
10000,7,505,495,1000,1,0.634721,10,0.509869,20033,20033,4,3,0.790769,0,7
10000,7,505,495,1000,1,0.439652,10,0.465839,20033,20033,2,4,1.19036,0,6
10000,7,505,495,1000,1,0.597795,10,0.465839,20033,20033,0,2,1.19375,0,2
10000,7,505,495,1000,1,0.679103,10,0.443614,20033,20033,0,3,1.30235,0,3
10000,7,505,495,1000,1,0.601371,10,0.465839,20033,20033,2,1,1.26434,0,3
10000,7,505,495,1000,1,0.704726,10,0.509869,20033,20033,0,2,0.784514,0,2
10000,7,505,495,1000,1,0.620251,10,0.485833,20033,20033,2,2,0.964657,0,4
10000,7,505,495,1000,1,0.704726,10,0.414594,20033,20033,0,2,1.22802,0,2
10000,7,505,495,1000,1,0.634721,10,0.4279,20033,20033,2,1,0.935076,0,3
10000,7,505,495,1000,1,0.704726,10,0.44722,20033,20033,2,2,1.48428,0,4
10000,7,505,495,1000,1,0.677655,10,0.44722,20033,20033,3,1,0.967553,0,4
10000,7,505,495,1000,1,0.713972,10,0.465839,20033,20033,4,5,0.768104,0,9
10000,7,505,495,1000,1,0.619322,10,0.450626,20033,20033,0,1,1.33549,0,1
10000,7,505,495,1000,1,0.580406,10,0.504037,20033,20033,1,2,1.26703,0,3
10000,7,505,495,1000,1,0.64155,10,0.475492,20033,20033,3,2,1.03187,0,5
10000,7,505,495,1000,1,0.651165,10,0.465839,20033,20033,0,2,1.1711,0,2
10000,7,505,495,1000,1,0.724448,10,0.443845,20033,20033,2,0,1.37631,0,2
10000,7,505,495,1000,1,0.601371,10,0.452334,20033,20033,3,1,1.35561,0,4
10000,7,505,495,1000,1,0.673994,10,0.476185,20033,20033,2,5,0.838378,0,7
10000,7,505,495,1000,1,0.713972,10,0.496362,20033,20033,2,2,0.650243,0,4
10000,7,505,495,1000,1,0.669687,10,0.480101,20033,20033,2,2,0.885708,0,4
